자치구,ADM_CD,ADM_NM,year,month,season,LST,NDVI,NDBI,NDWI,Albedo,SAVI,불투수면지수,avg_temp (℃),avg_humi (%),avg_ultra_rays (UV),avg_inte_illu (lux),avg_noise (dB ),에너지사용량_전기,용적률_행정동별,에너지사용량_가스,누적_옥상녹화개수,누적_조성면적합계(m^2),water_smog_유무,그늘막 개수,총_가로수_개수,차량밀도,인구밀도,year_norm,month_sin,month_cos,season_DJF,season_JJA,season_MAM,season_SON,녹지율,avg_elevation,Albedo_x_avg_temp
종로구,11010530,사직동,2024,1,DJF,5.034701174879432,0.1778427616364874,-0.1101158838212433,-0.1848188504488222,0.0768786792121918,0.0763946533650682,0.3560206772711346,-0.2862912353282043,67.69248785198013,0.0263441752875409,591.4741836406863,48.42652370248452,19920.963,142.9716097,2458.525684,5.0,2312.0,0,5,3,6552.032520325203,20432.34663016872,1.0,0.4999999999999999,0.8660254037844387,True,False,False,False,0.0095595148473442,64.45454545454545,-0.022009692042059128
종로구,11010540,삼청동,2024,1,DJF,3.924910765101349,0.3288402381017614,-0.1810961537998814,-0.3500968834209496,0.1388444883841941,0.1656153023386911,0.2450318040491786,-9.951930859225165,65.73839502621149,0.3647468354430379,355.72181520272443,42.42970368239355,3632.461,18.45380167785235,528.3492553,1.0,106.0,0,2,461,530.2013422818792,3519.8910818539366,1.0,0.4999999999999999,0.8660254037844387,True,False,False,False,0.0095595148473442,105.63636363636364,-1.3817707485839912
종로구,11010550,부암동,2024,1,DJF,2.7922345339584456,0.2052670437407574,-0.0954688593652857,-0.2538724163044936,0.2098565175555473,0.1308721170645189,0.3496320484469785,-0.6720108589070316,67.79165386357991,0.0207034191031894,351.7258621092795,50.63308138511882,3467.792,24.34737048,1068.969902,0.0,0.0,0,3,702,1348.4581497797358,5399.167404256074,1.0,0.4999999999999999,0.8660254037844387,True,False,False,False,0.0095595148473442,155.9090909090909,-0.1410258586097419
종로구,11010560,평창동,2024,1,DJF,2.319583592756812,0.2577714373428491,-0.105905639130051,-0.3026202639280168,0.2300528065106409,0.1412692154331825,0.31816146176355,-0.8552379278012188,68.42743202062823,0.0125731594554092,211.29514204636035,49.015755391467415,6806.502,12.759968038331454,2196.421633,2.0,459.0,0,2,2741,741.0372040586246,1947.2158293935088,1.0,0.4999999999999999,0.8660254037844387,True,False,False,False,0.0095595148473442,277.90909090909093,-0.19674988552501524
종로구,11010570,무악동,2024,1,DJF,3.2660417709255607,0.1279247148883065,-0.0753978832283899,-0.1712298466966502,0.2889137071494508,0.0924927596537394,0.3983387009416518,0.1216033755274261,63.31476793248945,0.0278481012658226,1271.8135021097046,53.45400843881856,1867.625,74.70983389,558.7078453,1.0,229.0,0,1,12,7930.555555555556,17522.331980660096,1.0,0.4999999999999999,0.8660254037844387,True,False,False,False,0.0095595148473442,124.45454545454544,0.035132882025515476
종로구,11010580,교남동,2024,1,DJF,4.553090549464001,0.1676842515635787,-0.0947315629078409,-0.1755823455071705,0.1089489101504378,0.0648301062132271,0.3687920927642902,-0.3067510548523207,60.781434599156114,0.0140928270042193,2031.2025316455697,62.12151898734178,5457.807,72.53116571,946.6530741,0.0,0.0,0,4,108,8248.57142857143,22482.32107680492,1.0,0.4999999999999999,0.8660254037844387,True,False,False,False,0.0095595148473442,66.18181818181819,-0.0334201931136575
종로구,11010600,가회동,2024,1,DJF,5.654546778705314,0.2179699788663618,-0.110812309189809,-0.2427831783459694,0.1064475734933855,0.1080719737835433,0.3356088559719146,0.0781838887503262,58.54816030917482,0.2119428130823105,471.4795579258498,48.278670848040896,4716.191,78.8518945,761.4271865,2.0,2893.0,0,1,167,2225.9259259259256,11163.35313744524,1.0,0.4999999999999999,0.8660254037844387,True,False,False,False,0.0095595148473442,64.63636363636364,0.008322485243749024
종로구,11010610,종로1·2·3·4가동,2024,1,DJF,4.744967782148648,0.2017883981059835,-0.1031214911546686,-0.2202180640177022,0.0867637725358806,0.0903908715567677,0.3475450553696739,0.5452911392405063,66.18974683544303,0.0983037974683543,759.1492405063291,53.91455696202531,46503.974,143.3400225106383,3659.68844,5.0,2495.0,0,17,726,2748.936170212766,27189.09909454358,1.0,0.4999999999999999,0.8660254037844387,True,False,False,False,0.0095595148473442,45.09090909090909,0.04731151637089449
종로구,11010630,종로5·6가동,2024,1,DJF,6.430597399941646,0.1540001325860703,-0.0224402291047048,-0.1508857599148856,0.0701647768318537,0.0618770752925857,0.4117798191546125,0.3453164556962025,64.14261603375527,0.0689886155560862,1167.9091091473608,52.348523206751054,10550.254,126.72344066666663,890.7437031,1.0,101.0,1,6,185,3391.666666666667,26533.167857750894,1.0,0.4999999999999999,0.8660254037844387,True,False,False,False,0.0095595148473442,32.36363636363637,0.02422905205029074
종로구,11010640,이화동,2024,1,DJF,6.267879700303258,0.1897823763830466,-0.0632623043247148,-0.1991770336575877,0.0670164721117029,0.0755230200919895,0.3734776596461193,0.7594243360131394,67.94378000611623,0.0529683544303797,895.1695569620254,49.97924784844398,19649.56,122.3028785897436,2187.227388,5.0,1376.0,0,4,242,2160.25641025641,32982.65215777502,1.0,0.4999999999999999,0.8660254037844387,True,False,False,False,0.0095595148473442,48.90909090909091,0.050893939835373055
