adm_cd,year,month,feature_name,shap_value
11010530,2024,4,인구밀도,0.03892679270782457
11010530,2024,4,차량밀도,0.002246625255121136
11010530,2024,4,총_가로수_개수,-0.18406076225585064
11010530,2024,5,Albedo,1.5374388101880379
11010530,2024,5,Albedo_x_avg_temp,1.651281200795579
11010530,2024,5,NDBI,0.3070641615965119
11010530,2024,5,NDVI,1.265896655107398
11010530,2024,5,avg_elevation,-0.30588392836147926
11010530,2024,5,avg_humi (%),0.9675288378228308
11010530,2024,5,avg_inte_illu (lux),0.06272464365787758
11010530,2024,5,avg_noise (dB ),-0.0007696666747616053
11010530,2024,5,avg_temp (℃),0.6148034828955267
11010530,2024,5,avg_ultra_rays (UV),0.12715573921078271
11010530,2024,5,month_cos,5.372266541429656
11010530,2024,5,month_sin,-0.5489188710427336
11010530,2024,5,season_DJF,2.6448857430073547
11010530,2024,5,season_JJA,-0.6427688804282978
11010530,2024,5,season_MAM,-0.005213115078877229
11010530,2024,5,season_SON,0.2268891739188735
11010530,2024,5,water_smog_유무,-0.000759887611183194
11010530,2024,5,year_norm,1.8233972608869256
11010530,2024,5,그늘막 개수,0.018295615982684543
11010530,2024,5,녹지율,0.12333636786124562
11010530,2024,5,누적_조성면적합계(m^2),0.051969194466024334
11010530,2024,5,에너지사용량_가스,-0.04717603496995617
11010530,2024,5,에너지사용량_전기,0.04572658849481023
11010530,2024,5,용적률_행정동별,0.0055100711318023295
11010530,2024,5,인구밀도,0.08395575098366259
11010530,2024,5,차량밀도,-0.009900752503307454
11010530,2024,5,총_가로수_개수,-0.20286427282909622
11010530,2024,6,Albedo,1.213194821873456
11010530,2024,6,Albedo_x_avg_temp,1.0808143087444304
11010530,2024,6,NDBI,0.6458615013457782
11010530,2024,6,NDVI,1.4371587148350526
11010530,2024,6,avg_elevation,-0.14013553289602712
11010530,2024,6,avg_humi (%),0.7786599332328771
11010530,2024,6,avg_inte_illu (lux),0.13296083199919495
11010530,2024,6,avg_noise (dB ),-0.029896515787807765
11010530,2024,6,avg_temp (℃),1.542446962721477
11010530,2024,6,avg_ultra_rays (UV),0.09082867084533594
11010530,2024,6,month_cos,4.917875181244164
11010530,2024,6,month_sin,-0.5298395610760501
11010530,2024,6,season_DJF,2.847768103985791
11010530,2024,6,season_JJA,1.7094084527067273
11010530,2024,6,season_MAM,0.0074258932078769355
11010530,2024,6,season_SON,0.14214525325915214
11010530,2024,6,water_smog_유무,-0.0007353326085848402
11010530,2024,6,year_norm,3.7968090312363083
11010530,2024,6,그늘막 개수,0.010339615376953992
11010530,2024,6,녹지율,0.2801608779319863
11010530,2024,6,누적_조성면적합계(m^2),0.08357728765962917
11010530,2024,6,에너지사용량_가스,-0.06805008617419012
11010530,2024,6,에너지사용량_전기,0.019833294168374628
11010530,2024,6,용적률_행정동별,0.044997733065886225
11010530,2024,6,인구밀도,0.08368974358631387
11010530,2024,6,차량밀도,-0.02426179361097448
11010530,2024,6,총_가로수_개수,-0.24805585097486926
11010530,2024,7,Albedo,-4.226893336450012
11010530,2024,7,Albedo_x_avg_temp,-0.9210202999218475
11010530,2024,7,NDBI,0.201616430725727
11010530,2024,7,NDVI,-1.6616997110791896
11010530,2024,7,avg_elevation,-0.2931979239228457
11010530,2024,7,avg_humi (%),0.5941662271989293
11010530,2024,7,avg_inte_illu (lux),-0.008264962150303435
11010530,2024,7,avg_noise (dB ),-0.07723838779614216
11010530,2024,7,avg_temp (℃),2.0797184810273572
11010530,2024,7,avg_ultra_rays (UV),0.08968636322303766
11010530,2024,7,month_cos,3.520966772020953
11010530,2024,7,month_sin,0.073444281246796
11010530,2024,7,season_DJF,2.24703437619344
11010530,2024,7,season_JJA,1.3483654599207637
11010530,2024,7,season_MAM,0.06602246159307369
11010530,2024,7,season_SON,0.09609597886856965
11010530,2024,7,water_smog_유무,-0.0009412373713697329
11010530,2024,7,year_norm,2.304694240437239
11010530,2024,7,그늘막 개수,0.02670066056520085
11010530,2024,7,녹지율,0.1055163764352305
11010530,2024,7,누적_조성면적합계(m^2),0.03866267303608647
11010530,2024,7,에너지사용량_가스,0.016404157637452604
