gu_nm,adm_nm,adm_cd,gu_cd,year,month,energy_elec,energy_gas,floor_area_ratio,shade_count,street_tree_count,green_ratio,roof_green_count,roof_green_area,cooling_fog,vehicle_density,population_density
종로구,사직동,11010530,11010,2020,4,14310.039,857.6825481,143.29717880487806,4,3,0.009137390213299875,5,2312.0,False,4928.455284552846,18917.599052280944
종로구,삼청동,11010540,11010,2020,4,1933.229,228.6955903,18.71399697986577,2,522,0.009137390213299875,1,106.0,False,447.6510067114094,3811.141568139448
종로구,부암동,11010550,11010,2020,4,2485.86,409.9806909,24.101731718061675,2,795,0.009137390213299875,0,0.0,False,1193.3920704845814,6818.154761013216
종로구,평창동,11010560,11010,2020,4,5006.226,1060.162271,12.943114374295378,1,3106,0.009137390213299875,1,134.0,False,617.8128523111612,2162.206518727297
종로구,무악동,11010570,11010,2020,4,1574.359,231.5426812,74.44328111,1,15,0.009137390213299875,1,229.0,False,6438.888888888889,20025.47994868827
종로구,교남동,11010580,11010,2020,4,3272.141,336.6513066,71.72942285714285,4,122,0.009137390213299875,0,0.0,False,6674.285714285715,19278.449534523814
종로구,가회동,11010600,11010,2020,4,2877.294,338.4760085,78.38207777777778,1,190,0.009137390213299875,1,2763.0,False,1898.148148148148,13249.549488425924
종로구,종로1·2·3·4가동,11010610,11010,2020,4,32782.223,1171.602879,144.97039676595745,10,823,0.009137390213299875,5,2495.0,False,1905.957446808511,23850.97085579196
종로구,종로5·6가동,11010630,11010,2020,4,7107.182,421.2583718,130.113794,3,210,0.009137390213299875,1,101.0,True,2473.333333333333,28889.60300601852
종로구,이화동,11010640,11010,2020,4,16103.39,974.8072755,123.52808589743589,2,274,0.009137390213299875,4,1176.0,False,1869.230769230769,28900.14265776353
종로구,창신1동,11010670,11010,2020,4,3269.436,239.3401473,286.6594548387097,2,108,0.009137390213299875,0,0.0,False,3367.741935483871,30747.831066308245
종로구,창신2동,11010680,11010,2020,4,2483.382,330.3401483,341.78627307692307,0,92,0.009137390213299875,2,148.0,False,4730.769230769231,39381.749340277776
종로구,창신3동,11010690,11010,2020,4,1202.615,145.894974,386.3670913043478,0,80,0.009137390213299875,2,556.0,False,6060.869565217391,20644.48747644928
종로구,숭인1동,11010700,11010,2020,4,1692.727,199.3861059,339.16604260869565,0,11,0.009137390213299875,0,0.0,False,5486.95652173913,34119.23368236715
종로구,숭인2동,11010710,11010,2020,4,3960.894,360.7582547,222.8805422857143,2,122,0.009137390213299875,0,0.0,False,5457.142857142858,42107.52135555556
종로구,청운효자동,11010720,11010,2020,4,2808.703,668.0122301,37.72524964980545,1,900,0.009137390213299875,0,0.0,False,1126.4591439688716,6204.456206874191
종로구,혜화동,11010730,11010,2020,4,5916.539,924.0342055,100.38181696428572,2,20,0.009137390213299875,3,2173.0,False,2678.5714285714284,25342.967039186504
중구,소공동,11020520,11020,2020,4,21497.109,1102.065104,296.6418709789474,8,1259,0.02219578313253012,9,2096.0,False,3302.105263157895,24830.04001637428
중구,회현동,11020540,11020,2020,4,19168.57,571.342377,373.26329396428577,9,1174,0.02219578313253012,6,2058.0,False,12554.761904761905,28807.471458002645
중구,명동,11020550,11020,2020,4,28776.914,1099.431437,374.3109322222222,6,1350,0.02219578313253012,4,2296.0,False,5692.929292929293,28862.4106026936
중구,필동,11020570,11020,2020,4,9074.356,329.1584416,137.12845115789474,3,519,0.02219578313253012,17,18558.0,False,1579.8245614035088,8935.429976486355
중구,장충동,11020580,11020,2020,4,5230.47,579.7024784,61.00794494117648,10,672,0.02219578313253012,7,2166.0,False,797.7941176470588,6999.132221098855
중구,광희동,11020590,11020,2020,4,17014.392,517.1152529,191.0100314864865,16,1073,0.02219578313253012,0,0.0,False,2778.3783783783783,28819.722385885885
중구,을지로동,11020600,11020,2020,4,10268.202,221.3724984,142.95225966666666,4,1049,0.02219578313253012,0,0.0,False,2253.333333333333,26826.799151157407
중구,신당5동,11020650,11020,2020,4,3017.181,311.463296,844.5835472564103,6,135,0.02219578313253012,2,561.0,False,6333.333333333333,30301.082475783474
중구,황학동,11020670,11020,2020,4,5351.992,417.3692505,180.81315424242425,11,278,0.02219578313253012,1,166.0,False,8539.393939393938,42945.28798905725
중구,중림동,11020680,11020,2020,4,4550.777,316.8798305,136.09954916666666,7,579,0.02219578313253012,2,341.0,False,6502.083333333334,18103.167777777777
중구,신당동,11020690,11020,2020,4,10296.736,489.5685709,642.4873353272727,16,691,0.02219578313253012,2,535.0,False,4489.090909090909,43637.89610075757
중구,다산동,11020700,11020,2020,4,3818.178,564.3076355,645.8580067254902,6,179,0.02219578313253012,7,1624.0,False,5601.9607843137255,30775.096383169934
중구,약수동,11020710,11020,2020,4,3210.802,406.6189078,686.2241321458333,7,343,0.02219578313253012,4,775.0,False,8216.666666666668,37366.0880390625
중구,청구동,11020720,11020,2020,4,2759.796,355.8435416,968.7870100882352,7,221,0.02219578313253012,1,133.0,False,8694.117647058823,35109.82991789216
중구,동화동,11020730,11020,2020,4,3027.328,321.3022164,1266.8753208846151,4,171,0.02219578313253012,3,949.0,False,9461.53846153846,41331.65357638888
용산구,후암동,11030510,11030,2020,4,2878.287,653.8216415,76.91453046511629,2,576,0.016988797439414723,2,655.0,False,3946.5116279069766,17297.531746447028
용산구,용산2가동,11030520,11030,2020,4,2082.236,482.3096739,22.41082637755101,0,677,0.016988797439414723,1,231.0,True,942.3469387755102,5955.220856292517
용산구,남영동,11030530,11030,2020,4,6073.394,379.0736635,74.38424579831933,0,630,0.016988797439414723,2,419.0,False,1422.689075630252,11844.946176704014
용산구,원효로2동,11030570,11030,2020,4,2494.835,340.9940105,97.54463845070424,2,482,0.016988797439414723,2,227.0,False,5833.802816901409,19690.50622222222
용산구,효창동,11030580,11030,2020,4,1556.646,273.2100607,78.74545954545454,1,300,0.016988797439414723,0,0.0,False,5831.818181818182,24329.7696177399
용산구,용문동,11030590,11030,2020,4,1959.812,300.7361301,145.56854410714283,1,181,0.016988797439414723,0,0.0,False,9939.285714285714,35306.25092559524
용산구,이촌1동,11030630,11030,2020,4,5100.962,112.0427287,57.15019556293706,0,290,0.016988797439414723,1,1012.0,False,3745.104895104895,10166.55768614025
용산구,이촌2동,11030640,11030,2020,4,1328.949,97.84436283,133.9750486147541,1,122,0.016988797439414723,1,321.0,False,2531.967213114754,6708.407123064663
용산구,이태원1동,11030650,11030,2020,4,3550.059,594.4061768,198.9655863157895,1,334,0.016988797439414723,0,0.0,False,3545.6140350877195,18520.512040448342
용산구,이태원2동,11030660,11030,2020,4,2300.18,590.5378542,131.87253976744185,0,369,0.016988797439414723,1,200.0,False,2511.6279069767443,15112.265979166668
용산구,서빙고동,11030690,11030,2020,4,3412.462,415.6884534,24.79221992857143,0,800,0.016988797439414723,2,890.0,False,1403.571428571429,5952.940199603175
용산구,보광동,11030700,11030,2020,4,2529.973,670.109962,74.92632169014084,0,178,0.016988797439414723,0,0.0,False,3770.422535211268,16128.059560837246
용산구,청파동,11030710,11030,2020,4,5917.29,782.4179243,109.62136835164836,0,392,0.016988797439414723,3,1482.0,False,3975.824175824176,26536.243956196584
용산구,원효로1동,11030720,11030,2020,4,5114.023,520.4517198,180.9496108474576,0,512,0.016988797439414723,1,417.0,False,8415.254237288136,35386.85639077213
용산구,한강로동,11030730,11030,2020,4,22370.669,1362.44143,85.82309627586207,0,1103,0.016988797439414723,2,1122.0,False,3345.5172413793102,14270.194575957854
용산구,한남동,11030740,11030,2020,4,12162.016,1524.112528,66.99353464451828,2,1168,0.016988797439414723,7,2136.0,False,1984.717607973422,11903.60671880768
성동구,왕십리2동,11040520,11040,2020,4,3012.144,482.4771384,172.05350365853658,5,61,0.018105516014234876,2,350.0,False,8880.48780487805,41386.09197628727
성동구,마장동,11040540,11040,2020,4,9447.72,840.0279995,94.73037428571428,6,917,0.018105516014234876,2,610.0,False,6250.47619047619,23677.03595780423
성동구,사근동,11040550,11040,2020,4,8177.434,704.9234622,211.7346641818181,5,740,0.018105516014234876,0,0.0,False,1650.9090909090908,21229.675686742423
성동구,행당1동,11040560,11040,2020,4,4402.296,430.9664125,343.3781364,11,458,0.018105516014234876,4,1214.0,False,5718.64406779661,35541.6526826742
성동구,행당2동,11040570,11040,2020,4,3442.933,507.7035808,482.364525,2,137,0.018105516014234876,0,0.0,False,12973.809523809525,46931.607814814815
성동구,응봉동,11040580,11040,2020,4,2007.587,434.4946669,94.96672105263158,4,208,0.018105516014234876,1,105.0,False,6685.964912280702,23411.240335769984
성동구,금호1가동,11040590,11040,2020,4,3242.079,797.1428633,96.54989565217392,12,139,0.018105516014234876,1,174.0,False,8413.04347826087,34150.55152536232
성동구,금호4가동,11040620,11040,2020,4,3023.165,418.879172,54.48692357142857,9,238,0.018105516014234876,0,0.0,False,4303.571428571428,14307.330834325398
성동구,성수1가1동,11040650,11040,2020,4,4691.754,556.5087679,84.06150363451776,11,714,0.018105516014234876,2,843.0,False,4580.203045685279,9752.106019811054
성동구,성수1가2동,11040660,11040,2020,4,5551.642,486.6566923,186.0687215280899,5,587,0.018105516014234876,0,0.0,False,6226.966292134832,23662.64793648565
성동구,성수2가1동,11040670,11040,2020,4,7436.073,679.9163761,243.38839743589745,1,524,0.018105516014234876,0,0.0,False,4930.769230769231,17445.161502967716
성동구,성수2가3동,11040680,11040,2020,4,22890.109,715.8249239,276.47031553398057,8,786,0.018105516014234876,5,1530.0,False,5320.388349514563,28849.04080110572
성동구,송정동,11040690,11040,2020,4,2455.455,456.5770708,50.158870533333335,1,198,0.018105516014234876,1,114.0,False,2993.333333333333,14676.639897592591
성동구,용답동,11040700,11040,2020,4,39094.67,490.8829764,49.53392874458874,7,710,0.018105516014234876,2,1145.0,False,2882.251082251082,7860.576522126025
성동구,왕십리도선동,11040710,11040,2020,4,7776.433,614.3858984,161.92313902777778,24,798,0.018105516014234876,2,1112.0,False,9005.555555555557,38571.36317361111
성동구,금호2·3가동,11040720,11040,2020,4,3908.643,605.1961761,433.3084743,4,113,0.018105516014234876,1,227.0,False,7893.75,35242.36545442708
성동구,옥수동,11040730,11040,2020,4,4833.782,797.6009338,44.37771164948454,7,190,0.018105516014234876,1,600.0,False,3626.80412371134,14665.32257739118
광진구,화양동,11050530,11050,2020,4,9967.766,1190.191334,125.17783568965515,7,366,0.017308909730363423,0,0.0,False,2726.724137931035,31255.40324808429
광진구,군자동,11050540,11050,2020,4,5725.744,827.3445483,133.76242324324326,7,303,0.017308909730363423,2,360.0,False,5555.405405405406,25501.256273836338
광진구,중곡1동,11050550,11050,2020,4,3683.48,592.7296221,469.0941523225807,3,378,0.017308909730363423,2,260.0,False,6308.064516129032,27577.31259296595
광진구,중곡2동,11050560,11050,2020,4,4016.02,771.1565184,528.7970444363636,4,396,0.017308909730363423,0,0.0,False,7921.818181818181,34709.63065025252
광진구,중곡3동,11050570,11050,2020,4,3687.006,670.6718183,484.7306240666667,6,307,0.017308909730363423,2,405.0,False,5558.333333333334,27940.697228703702
광진구,중곡4동,11050580,11050,2020,4,4837.941,1066.638483,125.36136829310344,2,410,0.017308909730363423,1,81.0,False,2663.362068965517,11702.293046396073
광진구,능동,11050590,11050,2020,4,3127.877,483.0423652,48.686158,8,286,0.017308909730363423,1,280.0,False,2279.090909090909,14481.559086742423
광진구,구의1동,11050600,11050,2020,4,4436.46,835.9475839,1056.2041839285714,3,408,0.017308909730363423,1,195.0,False,9080.35714285714,43535.18365649801
